Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
state_timer_descriptor;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;135;20;25;Single bit-flip;codes/clamr/20-25/dump_3/clamr_xeon_phi_20-25/2017_03_02/2017_03_02_03_20_00/2017_03_02_08_17_46_clamr_openmponly_mic0.local.log
numpe;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;147;20;25;Double bit-flip;codes/clamr/20-25/dump_3/clamr_xeon_phi_20-25/2017_03_01/2017_03_01_23_09_25/2017_03_02_04_01_58_clamr_openmponly_mic0.local.log
face_based;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;131;20;25;Single bit-flip;codes/clamr/20-25/dump_3/clamr_xeon_phi_20-25/2017_02_28/2017_02_28_06_16_55/2017_02_28_11_09_28_clamr_openmponly_mic0.local.log
state;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;159;20;25;Single bit-flip;codes/clamr/20-25/dump_3/clamr_xeon_phi_20-25/2017_02_28/2017_02_28_02_16_47/2017_02_28_07_16_11_clamr_openmponly_mic0.local.log
crux;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;160;20;25;Random bit-flip;codes/clamr/20-25/dump_5/clamr_xeon_phi_20-25/2017_03_04/2017_03_04_18_52_07/2017_03_04_23_46_24_clamr_openmponly_mic0-mic0.ece.neu.edu.log
restart;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;128;20;25;Double bit-flip;codes/clamr/20-25/dump_5/clamr_xeon_phi_20-25/2017_03_04/2017_03_04_15_33_48/2017_03_04_20_28_22_clamr_openmponly_mic0-mic0.ece.neu.edu.log
mesh;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;158;20;25;Zero bit-flip;codes/clamr/20-25/dump_5/clamr_xeon_phi_20-25/2017_03_04/2017_03_04_22_34_45/2017_03_05_03_28_35_clamr_openmponly_mic0-mic0.ece.neu.edu.log
__GI__IO_file_jumps;fileops.c;1525;20;25;Single bit-flip;codes/clamr/20-25/dump_5/clamr_xeon_phi_20-25/2017_03_06/2017_03_06_13_32_07/2017_03_06_18_26_26_clamr_openmponly_mic0-mic0.ece.neu.edu.log
mpot;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;401;20;25;Double bit-flip;codes/clamr/20-25/dump_5/clamr_xeon_phi_20-25/2017_03_05/2017_03_05_15_38_43/2017_03_05_20_33_19_clamr_openmponly_mic0-mic0.ece.neu.edu.log
nlft_old;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;3187;20;25;Random bit-flip;codes/clamr/20-25/dump_5/clamr_xeon_phi_20-25/2017_03_05/2017_03_05_18_34_13/2017_03_05_23_28_40_clamr_openmponly_mic0-mic0.ece.neu.edu.log
mpot;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;1029;20;25;Double bit-flip;codes/clamr/20-25/dump_5/clamr_xeon_phi_20-25/2017_03_05/2017_03_05_15_43_13/2017_03_05_20_34_14_clamr_openmponly_mic0-mic0.ece.neu.edu.log
face_based;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;131;20;25;Double bit-flip;codes/clamr/20-25/dump_5/clamr_xeon_phi_20-25/2017_03_03/2017_03_03_12_59_56/2017_03_03_17_47_56_clamr_openmponly_mic0-mic0.ece.neu.edu.log
p;printf_fp.c;243;20;25;Random bit-flip;codes/clamr/20-25/dump_5/clamr_xeon_phi_20-25/2017_03_03/2017_03_03_15_55_15/2017_03_03_20_48_10_clamr_openmponly_mic0-mic0.ece.neu.edu.log
_IO_file_jumps;fileops.c;1548;20;25;Single bit-flip;codes/clamr/20-25/dump_2/clamr_xeon_phi_20-25/2017_03_02/2017_03_02_10_48_03/2017_03_02_15_36_01_clamr_openmponly_mic0-mic0.ece.neu.edu.log
y;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;974;20;25;Double bit-flip;codes/clamr/20-25/dump_2/clamr_xeon_phi_20-25/2017_03_02/2017_03_02_10_54_47/2017_03_02_15_47_04_clamr_openmponly_mic0-mic0.ece.neu.edu.log
reference_time;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;3275;20;25;Single bit-flip;codes/clamr/20-25/dump_2/clamr_xeon_phi_20-25/2017_03_01/2017_03_01_00_37_27/2017_03_01_05_31_19_clamr_openmponly_mic0-mic0.ece.neu.edu.log
_IO_file_jumps_mmap;fileops.c;1550;20;25;Double bit-flip;codes/clamr/20-25/dump_2/clamr_xeon_phi_20-25/2017_02_28/2017_02_28_03_26_50/2017_02_28_08_20_51_clamr_openmponly_mic0-mic0.ece.neu.edu.log
_IO_file_jumps;fileops.c;1548;20;25;Double bit-flip;codes/clamr/20-25/dump_2/clamr_xeon_phi_20-25/2017_02_27/2017_02_27_18_39_02/2017_02_27_23_33_11_clamr_openmponly_mic0-mic0.ece.neu.edu.log
mid;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;180;5;10;Single bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_20/2017_02_20_14_43_52/2017_02_20_19_38_44_clamr_openmponly_mic0-mic0.ece.neu.edu.log
a;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;67;5;10;Double bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_20/2017_02_20_22_07_45/2017_02_21_02_59_21_clamr_openmponly_mic0-mic0.ece.neu.edu.log
stack_ptr;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;180;5;10;Double bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_20/2017_02_20_11_01_40/2017_02_20_15_55_12_clamr_openmponly_mic0-mic0.ece.neu.edu.log
add;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/Bounds.c;76;5;10;Double bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_20/2017_02_20_14_43_33/2017_02_20_19_38_25_clamr_openmponly_mic0-mic0.ece.neu.edu.log
t;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;64;5;10;Double bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_20/2017_02_20_11_03_12/2017_02_20_15_58_04_clamr_openmponly_mic0-mic0.ece.neu.edu.log
idx;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;183;5;10;Single bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_20/2017_02_20_22_10_37/2017_02_21_03_04_10_clamr_openmponly_mic0-mic0.ece.neu.edu.log
b;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/Bounds.c;76;5;10;Single bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_20/2017_02_20_11_06_04/2017_02_20_15_59_36_clamr_openmponly_mic0-mic0.ece.neu.edu.log
next_node;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;180;5;10;Double bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_20/2017_02_20_22_04_09/2017_02_21_02_58_53_clamr_openmponly_mic0-mic0.ece.neu.edu.log
min;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;180;5;10;Double bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_22/2017_02_22_00_36_06/2017_02_22_05_29_31_clamr_openmponly_mic0-mic0.ece.neu.edu.log
j;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;67;5;10;Double bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_22/2017_02_22_07_29_45/2017_02_22_12_21_59_clamr_openmponly_mic0-mic0.ece.neu.edu.log
cut_direction;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;65;5;10;Double bit-flip;codes/clamr/5-10/dump_4/clamr_xeon_phi_5-10/2017_02_22/2017_02_22_00_40_12/2017_02_22_05_34_39_clamr_openmponly_mic0-mic0.ece.neu.edu.log
