bitflips:;13076
SDCs:;276
Crashes:;1488
Simultaneous SDCs and Crashes:;0


Fault Modes #flips:
Double bit-flip;1251
Random bit-flip;1088
Single bit-flip;9559
Zero bit-flip;1178
Fault Modes #SDC:
Double bit-flip;32
Random bit-flip;21
Single bit-flip;195
Zero bit-flip;28
Fault Modes #Crashes:
Double bit-flip;168
Random bit-flip;131
Single bit-flip;1062
Zero bit-flip;127

Time Frame #flips:
-;8907
0-3;4114
3-6;48
6-10;7
Time Frame #SDC:
-;172
0-3;104
Time Frame #Crashes:
-;977
0-3;500
3-6;9
6-10;2

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
30.87248322147651;298;92;rv_cpu;main_check.c;58
14.0625;320;45;par_cpu;main_check.c;55
15.708812260536398;261;41;qv_cpu;main_check.c;59
7.836990595611286;319;25;l;main_check.c;53
8.75912408759124;274;24;n;main_check.c;53
7.3643410852713185;258;19;box_cpu;main_check.c;57
6.985294117647059;272;19;m;main_check.c;53
1.7543859649122806;285;5;dim_cpu;main_check.c;56
0.37593984962406013;266;1;i;main_check.c;53
0.42016806722689076;238;1;file;main_check.c;139
0.33222591362126247;301;1;j;main_check.c;53
0.3663003663003663;273;1;fv_cpu;main_check.c;60
16.666666666666664;6;1;fv_cpu_GOLD;main_check.c;61
0.22172949002217296;451;1;__GI__IO_file_jumps;fileops.c;1525

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
75.625;320;242;par_cpu;main_check.c;55
75.58528428093646;299;226;iteractions;main_check.c;41
78.57142857142857;266;209;i;main_check.c;53
51.55038759689923;258;133;box_cpu;main_check.c;57
20.84257206208426;451;94;__GI__IO_file_jumps;fileops.c;1525
28.859060402684566;298;86;rv_cpu;main_check.c;58
17.078189300411523;486;83;_IO_file_jumps;fileops.c;1548
19.157088122605366;261;50;qv_cpu;main_check.c;59
15.087719298245613;285;43;dim_cpu;main_check.c;56
6.8181818181818175;528;36;_IO_file_jumps_mmap;fileops.c;1550
5.936920222634509;539;32;_IO_file_jumps_maybe_mmap;fileops.c;1574
10.631229235880399;301;32;j;main_check.c;53
92.3076923076923;26;24;stack_cache_lock;allocatestack.c;109
6.622516556291391;302;20;k;main_check.c;53
7.142857142857142;238;17;file;main_check.c;139
5.109489051094891;274;14;nh;main_check.c;62
10.256410256410255;117;12;_rtld_global;rtld.c;124
3.6630036630036633;273;10;fv_cpu;main_check.c;60
72.72727272727273;11;8;_itoa_lower_digits;dl-minimal.c;382
66.66666666666666;12;8;start_routine;pthread_create.c;488
47.05882352941176;17;8;stack_cache;allocatestack.c;112
31.57894736842105;19;6;stack_used;allocatestack.c;115
5.555555555555555;108;6;_rtld_local;rtld.c;146
100.0;6;6;size;allocatestack.c;353
1.5673981191222568;319;5;l;main_check.c;53
75.0;4;3;__GI__itoa_lower_digits;dl-minimal.c;381
10.0;30;3;_thread_db_pthread_list;../nptl_db/structs.def;26
0.4132231404958678;726;3;_r_debug;dl-debug.c;37
2.3255813953488373;129;3;audit_list;rtld.c;108
37.5;8;3;newthread;pthread_create.c;486
15.0;20;3;thread_ran;pthread_create.c;630
2.2556390977443606;133;3;_rtld_global_ro;rtld.c;152
7.4074074074074066;27;2;stack_cache_actsize;allocatestack.c;106
10.0;20;2;_thread_db_pthread_schedparam_sched_priority;../nptl_db/structs.def;33
9.090909090909092;22;2;_thread_db_sizeof_pthread_key_data_level2;../nptl_db/structs.def;69
66.66666666666666;3;2;p;msort.c;40
13.333333333333334;15;2;_thread_db_pthread_key_struct_destr;../nptl_db/structs.def;64
11.76470588235294;17;2;_thread_db_sizeof_pthread_key_struct;../nptl_db/structs.def;62
13.333333333333334;15;2;_thread_db_pthread_key_data_level2_data;../nptl_db/structs.def;70
9.523809523809524;21;2;_thread_db_link_map_l_tls_modid;../nptl_db/structs.def;72
1.5384615384615385;130;2;_rtld_local_ro;rtld.c;187
10.0;20;2;__PRETTY_FUNCTION__;pthread_create.c;0
0.8;125;1;__pointer_chk_guard_local;rtld.c;96
0.7575757575757576;132;1;start_time;rtld.c;202
5.263157894736842;19;1;_thread_db_sizeof_pthread_key_data;../nptl_db/structs.def;66
4.166666666666666;24;1;_thread_db_pthread_dtvp;../nptl_db/structs.def;78
5.88235294117647;17;1;_thread_db_td_eventbuf_t_eventnum;../nptl_db/structs.def;48
8.333333333333332;12;1;free_cpuset;pthread_create.c;495
4.3478260869565215;23;1;_thread_db___pthread_keys;../nptl_db/structs.def;61
4.761904761904762;21;1;__nptl_threads_events;pthread_create.c;44
14.285714285714285;7;1;prot;allocatestack.c;465
100.0;1;1;current_value;dl-lookup.c;755
1.2048192771084338;83;1;__GI__dl_argv;rtld.c;83
3.3333333333333335;30;1;_thread_db_pthread_tid;../nptl_db/structs.def;28
4.761904761904762;21;1;_thread_db___nptl_last_event;../nptl_db/structs.def;58
3.0303030303030303;33;1;__PRETTY_FUNCTION__;rtld.c;0
4.761904761904762;21;1;_thread_db_pthread_schedpolicy;../nptl_db/structs.def;32
33.33333333333333;3;1;guardsize;allocatestack.c;462
0.8064516129032258;124;1;_dl_rtld_libname2;rtld.c;196
0.7692307692307693;130;1;__libc_enable_secure;../elf/dl-sysdep.c;57
0.3676470588235294;272;1;m;main_check.c;53
0.33333333333333337;300;1;argv;main_check.c;43
4.761904761904762;21;1;_thread_db_list_t_next;../nptl_db/structs.def;41
0.8620689655172413;116;1;_dl_rtld_libname;rtld.c;195
4.166666666666666;24;1;_thread_db_pthread_specific;../nptl_db/structs.def;34
