Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
jj;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_02_05_41/2017_02_28_07_03_24_openmpDGEMM_mic1.local.log
ii;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_07_29_21/2017_02_28_12_26_56_openmpDGEMM_mic1.local.log
kg;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_14_26_56/2017_02_28_19_24_49_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_14_21_09/2017_02_28_19_19_55_openmpDGEMM_mic1.local.log
AA;dgemm.c;187;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_23_38_14/2017_03_01_04_37_26_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_27/2017_02_27_23_05_36/2017_02_28_04_04_22_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_27/2017_02_27_23_11_41/2017_02_28_04_09_07_openmpDGEMM_mic1.local.log
kk;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_27/2017_02_27_20_10_25/2017_02_28_01_07_16_openmpDGEMM_mic1.local.log
ii;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_27/2017_02_27_17_41_40/2017_02_27_22_38_04_openmpDGEMM_mic1.local.log
ii;dgemm.c;183;7;14;Random bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_15_11_36/2017_03_02_20_11_42_openmpDGEMM_mic0-mic1.ece.neu.edu.log
jj;dgemm.c;183;7;14;Random bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_20_08_04/2017_03_03_01_09_57_openmpDGEMM_mic0-mic1.ece.neu.edu.log
jj;dgemm.c;183;7;14;Random bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_15_18_23/2017_03_02_20_13_56_openmpDGEMM_mic0-mic1.ece.neu.edu.log
kg;dgemm.c;183;7;14;Random bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_17_44_26/2017_03_02_22_41_27_openmpDGEMM_mic0-mic1.ece.neu.edu.log
