Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
k;lud_omp.c;73;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_18_14_32/2017_02_25_23_13_52_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_08_35_43/2017_02_25_13_34_45_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_20_00_02/2017_02_26_00_59_08_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_23_15_40/2017_02_26_04_14_46_openmpLUD_mic1.local.log
a;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_17_22_05/2017_02_25_22_21_10_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_45_16/2017_02_25_07_44_21_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_11_12_02/2017_02_25_16_11_20_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_10_18_06/2017_02_25_15_17_26_openmpLUD_mic1.local.log
k;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_04_28_40/2017_02_25_09_27_44_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_00_07_38/2017_02_25_05_06_44_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_07_10_08/2017_02_25_12_09_12_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_28_35/2017_02_25_07_27_51_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_04_47_55/2017_02_25_09_46_59_openmpLUD_mic1.local.log
k;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_04_31_10/2017_02_25_09_30_13_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_03_18_24/2017_02_25_08_17_29_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_08_01_04/2017_02_25_13_00_00_openmpLUD_mic1.local.log
a;lud_omp.c;123;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_03_11_35/2017_02_25_08_10_37_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_22_59_50/2017_02_26_03_58_46_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_01_00_58/2017_02_25_06_00_02_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_00_05_49/2017_02_25_05_05_07_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_06_16_53/2017_02_25_11_15_58_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_07_08_12/2017_02_25_12_07_18_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_10_00_34/2017_02_25_14_59_40_openmpLUD_mic1.local.log
a;lud_omp.c;123;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_09_51_06/2017_02_25_14_50_10_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_22_33_00/2017_02_26_03_32_04_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_22_39_13/2017_02_26_03_38_19_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_24/2017_02_24_22_02_25/2017_02_25_03_01_31_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_15_38_36/2017_02_26_20_37_41_openmpLUD_mic1.local.log
k;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_02_44_36/2017_02_26_07_43_41_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_17_50_25/2017_02_26_22_49_30_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_17_58_58/2017_02_26_22_57_55_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_06_43_36/2017_02_26_11_42_58_openmpLUD_mic1.local.log
k;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_13_15_24/2017_02_26_18_14_29_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_10_47_49/2017_02_26_15_46_53_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_01_36_30/2017_02_26_06_35_36_openmpLUD_mic1.local.log
k;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_03_18_02/2017_02_26_08_17_07_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_23_17_58/2017_02_27_04_17_04_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_12_05_23/2017_02_26_17_04_19_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_04_10_46/2017_02_26_09_09_50_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_12_24_43/2017_02_26_17_23_55_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_22_36_06/2017_02_27_03_35_02_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_12_31_48/2017_02_26_17_30_51_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_11_58_29/2017_02_26_16_57_33_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_15_54_05/2017_02_26_20_53_07_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_20_10_55/2017_02_27_01_09_57_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_23_10_47/2017_02_27_04_09_48_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_01_18_49/2017_02_26_06_17_56_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_22_42_37/2017_02_27_03_41_58_openmpLUD_mic1.local.log
gold;lud_check.c;51;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_20_04_35/2017_02_27_01_03_39_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_18_16_49/2017_02_26_23_15_51_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_07_11_59/2017_02_26_12_10_56_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_08_55_53/2017_02_26_13_54_59_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_00_22_59/2017_02_26_05_22_13_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_10_56_09/2017_02_26_15_55_10_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_04_56_52/2017_02_26_09_55_56_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_22_44_27/2017_02_27_03_43_32_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_16_21_00/2017_02_26_21_19_58_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_21_13_44/2017_02_27_02_12_41_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_12_25_58/2017_02_26_17_25_02_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_15_03_42/2017_02_26_20_02_47_openmpLUD_mic1.local.log
a;lud_omp.c;123;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_23_09_30/2017_02_27_04_08_27_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_05_23_25/2017_02_26_10_22_31_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_18_00_15/2017_02_26_22_59_17_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_26/2017_02_26_19_11_39/2017_02_27_00_10_43_openmpLUD_mic1.local.log
