Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
grid_rows;hotspot_check.c;230;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_01/2017_03_01_04_31_58/2017_03_01_09_30_41_openMPHotspot_mic0.local.log
grid_rows;hotspot_check.c;230;3;6;Single bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_01/2017_03_01_13_14_10/2017_03_01_18_13_54_openMPHotspot_mic0.local.log
str;vfscanf.c;255;3;6;Single bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_01/2017_03_01_21_37_08/2017_03_02_02_36_48_openMPHotspot_mic0.local.log
fp;hotspot_check.c;193;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_01/2017_03_01_04_34_16/2017_03_01_09_33_23_openMPHotspot_mic0.local.log
exponent;strtod_l.c;353;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_01/2017_03_01_13_15_48/2017_03_01_18_14_55_openMPHotspot_mic0.local.log
pfile;hotspot_check.c;232;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_01/2017_03_01_13_14_55/2017_03_01_18_14_42_openMPHotspot_mic0.local.log
decimal_len;strtod_l.c;537;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_14_27_29/2017_02_28_19_26_57_openMPHotspot_mic0.local.log
list_all_lock;genops.c;38;3;6;Single bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_19_07_35/2017_03_01_00_06_20_openMPHotspot_mic0.local.log
grid_rows;hotspot_check.c;190;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_09_34_34/2017_02_28_14_34_21_openMPHotspot_mic0.local.log
fp;hotspot_check.c;193;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_19_08_50/2017_03_01_00_08_39_openMPHotspot_mic0.local.log
grid_rows;hotspot_check.c;190;3;6;Single bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_23_52_48/2017_03_01_04_52_35_openMPHotspot_mic0.local.log
num_omp_threads;hotspot_check.c;40;3;6;Single bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_01_05_04/2017_02_28_06_03_48_openMPHotspot_mic0.local.log
sf;isoc99_vsscanf.c;35;3;6;Single bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_27/2017_02_27_17_12_39/2017_02_27_22_12_25_openMPHotspot_mic0.local.log
strsize;vfscanf.c;258;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_27/2017_02_27_17_12_24/2017_02_27_22_11_07_openMPHotspot_mic0.local.log
ofile;hotspot_check.c;232;3;6;Single bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_22_07_57/2017_02_26_03_07_00_openMPHotspot_mic0.local.log
sf;isoc99_vsscanf.c;35;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_12_58_33/2017_02_25_17_57_49_openMPHotspot_mic0.local.log
pfile;hotspot_check.c;232;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_07_49_55/2017_02_25_12_49_06_openMPHotspot_mic0.local.log
grid_rows;hotspot_check.c;230;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_01_40_23/2017_02_25_06_39_33_openMPHotspot_mic0.local.log
arg;isoc99_sscanf.c;27;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_21_35_04/2017_02_26_02_34_00_openMPHotspot_mic0.local.log
grid_rows;hotspot_check.c;190;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_00_07_06/2017_02_25_05_05_26_openMPHotspot_mic0.local.log
i;hotspot_check.c;192;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_17_34_25/2017_02_25_22_33_35_openMPHotspot_mic0.local.log
num_omp_threads;hotspot_check.c;40;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_01_41_46/2017_02_25_06_40_41_openMPHotspot_mic0.local.log
decimal_len;strtod_l.c;537;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_01_25_15/2017_02_25_06_24_12_openMPHotspot_mic0.local.log
i;hotspot_check.c;192;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_14_36_23/2017_02_25_19_35_50_openMPHotspot_mic0.local.log
grid_rows;hotspot_check.c;190;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_14_04_47/2017_02_25_19_04_03_openMPHotspot_mic0.local.log
pfile;hotspot_check.c;232;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_04_37_45/2017_02_25_09_36_05_openMPHotspot_mic0.local.log
pfile;hotspot_check.c;232;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_00_22_17/2017_02_25_05_21_40_openMPHotspot_mic0.local.log
temp;hotspot_check.c;231;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_17_53_19/2017_02_25_22_52_14_openMPHotspot_mic0.local.log
numsize;strtod_l.c;500;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_07_01_43/2017_02_25_12_00_14_openMPHotspot_mic0.local.log
i;hotspot_check.c;192;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_09_58_59/2017_02_25_14_57_30_openMPHotspot_mic0.local.log
numsize;strtod_l.c;500;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_09_10_30/2017_02_25_14_09_47_openMPHotspot_mic0.local.log
vect;hotspot_check.c;190;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_08_37_55/2017_02_25_13_37_21_openMPHotspot_mic0.local.log
i;hotspot_check.c;192;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_14_53_17/2017_02_25_19_52_34_openMPHotspot_mic0.local.log
gold;hotspot_check.c;231;3;6;Double bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_20_12_55/2017_02_26_01_11_51_openMPHotspot_mic0.local.log
grid_cols;hotspot_check.c;190;3;6;Single bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_19_57_55/2017_02_26_00_57_05_openMPHotspot_mic0.local.log
