Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
iteractions;main_check.c;41;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_05_17_46/2016_10_23_10_03_15_openmpLavaMD_carolxeon1-mic0.log
box_cpu;main_check.c;57;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_14_53_18/2016_10_23_19_40_58_openmpLavaMD_carolxeon1-mic0.log
_IO_file_jumps;fileops.c;1548;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_21_17_01/2016_10_24_02_05_51_openmpLavaMD_carolxeon1-mic0.log
rv_cpu;main_check.c;58;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_13_09_19/2016_10_23_17_56_43_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_22_14_32/2016_10_24_03_02_48_openmpLavaMD_carolxeon1-mic0.log
iteractions;main_check.c;41;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_22_09_37/2016_10_24_02_57_53_openmpLavaMD_carolxeon1-mic0.log
iteractions;main_check.c;41;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_10_25_19/2016_10_23_15_11_38_openmpLavaMD_carolxeon1-mic0.log
_IO_file_jumps;fileops.c;1548;;;Single bit-flip;codes/lavamd/logs/2016_10_23/2016_10_23_01_42_27/2016_10_23_06_28_03_openmpLavaMD_carolxeon1-mic0.log
par_cpu;main_check.c;55;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_03_42_43/2016_10_18_08_08_03_openmpLavaMD_carolxeon1-mic0.log
_thread_db_pthread_key_data_level2_data;../nptl_db/structs.def;70;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_02_50_51/2016_10_18_07_16_38_openmpLavaMD_carolxeon1-mic0.log
i;main_check.c;53;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_14_15_05/2016_10_18_18_42_10_openmpLavaMD_carolxeon1-mic0.log
iteractions;main_check.c;41;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_18_31_14/2016_10_18_22_59_02_openmpLavaMD_carolxeon1-mic0.log
file;main_check.c;139;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_09_03_24/2016_10_18_13_29_38_openmpLavaMD_carolxeon1-mic0.log
box_cpu;main_check.c;57;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_13_25_24/2016_10_18_17_53_04_openmpLavaMD_carolxeon1-mic0.log
_IO_file_jumps;fileops.c;1548;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_22_58_13/2016_10_19_03_27_29_openmpLavaMD_carolxeon1-mic0.log
stack_used;allocatestack.c;115;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_12_32_32/2016_10_18_16_59_59_openmpLavaMD_carolxeon1-mic0.log
iteractions;main_check.c;41;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_15_05_22/2016_10_18_19_32_37_openmpLavaMD_carolxeon1-mic0.log
iteractions;main_check.c;41;;;Single bit-flip;codes/lavamd/logs/2016_10_18/2016_10_18_03_47_19/2016_10_18_08_12_40_openmpLavaMD_carolxeon1-mic0.log
