bitflips:;18686
SDCs:;1268
Crashes:;3646
Simultaneous SDCs and Crashes:;0


Fault Modes #flips:
Double bit-flip;1575
Random bit-flip;2034
Single bit-flip;13039
Zero bit-flip;2038
Fault Modes #SDC:
Double bit-flip;227
Random bit-flip;271
Single bit-flip;543
Zero bit-flip;227
Fault Modes #Crashes:
Double bit-flip;267
Random bit-flip;367
Single bit-flip;2764
Zero bit-flip;248

Time Frame #flips:
-;11452
0-3;1448
12-15;1264
3-6;1513
6-9;1510
9-12;1499
Time Frame #SDC:
-;288
0-3;177
12-15;167
3-6;213
6-9;187
9-12;236
Time Frame #Crashes:
-;2515
0-3;197
12-15;160
3-6;280
6-9;239
9-12;255

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
98.42931937172776;191;188;amb_temp;hotspot_check.c;38
24.053452115812917;449;108;num_omp_threads;hotspot_check.c;39
46.92982456140351;228;107;chip_width;hotspot_check.c;35
55.61497326203209;187;104;chip_height;hotspot_check.c;34
37.01657458563536;181;67;t_chip;hotspot_check.c;33
2.443064182194617;2415;59;sf;isoc99_vsscanf.c;35
42.06349206349206;126;53;vect;hotspot_check.c;190
36.507936507936506;126;46;grid_rows;hotspot_check.c;190
33.60655737704918;122;41;grid_cols;hotspot_check.c;190
20.105820105820104;189;38;retval;strtod_l.c;512
19.101123595505616;178;34;exponent;strtod_l.c;501
53.96825396825397;63;34;temp;hotspot_check.c;231
2.2805805114029023;1447;33;arg;isoc99_sscanf.c;27
15.196078431372548;204;31;num_omp_threads;hotspot_check.c;40
42.62295081967213;61;26;sim_time;hotspot_check.c;230
10.144927536231885;207;21;f;vfscanf.c;209
11.450381679389313;131;15;index;hotspot_check.c;192
6.666666666666667;195;13;val;hotspot_check.c;194
18.64406779661017;59;11;gold;hotspot_check.c;231
5.263157894736842;209;11;errors;hotspot_check.c;282
39.130434782608695;23;9;not_in;vfscanf.c;227
8.108108108108109;111;9;i;hotspot_check.c;192
10.526315789473683;76;8;power;hotspot_check.c;231
4.49438202247191;178;8;den;strtod_l.c;509
1.7456359102244388;401;7;chip_height;hotspot_check.c;33
3.153153153153153;222;7;tw;vfscanf.c;264
1.6241299303944314;431;7;_r_debug;dl-debug.c;37
3.1390134529147984;223;7;__PRETTY_FUNCTION__;vfscanf.c;0
5.785123966942149;121;7;val;hotspot_check.c;195
3.763440860215054;186;7;flags;vfscanf.c;215
1.6908212560386473;414;7;test_info;hotspot_check.c;252
4.0;175;7;num;strtod_l.c;500
7.792207792207792;77;6;result;hotspot_check.c;231
4.918032786885246;122;6;str;hotspot_check.c;194
35.294117647058826;17;6;nptr;strtod_l.c;494
1.2468827930174564;401;5;amb_temp;hotspot_check.c;37
3.8461538461538463;130;5;file;hotspot_check.c;190
2.4271844660194173;206;5;str;hotspot_check.c;193
1.9417475728155338;206;4;extract_delim;iogetline.c;56
5.128205128205128;78;4;test_info;hotspot_check.c;253
4.705882352941177;85;4;startp;strtod_l.c;519
5.88235294117647;68;4;ofile;hotspot_check.c;232
2.13903743315508;187;4;wpmax;vfscanf.c;266
57.14285714285714;7;4;col;hotspot_check.c;60
